E2000020820502280470CEAA,1056,768,0.75,1
E2000020820502291350D066,1009.750372,749.0007396,0.75,2
E2000020820502280490CE9E,963.5007437,730.0014792,0.75,3
E2000020820502291330D052,917.2511155,711.0022188,0.75,4
E2000020820502280710CE4A,871.0014874,692.0029584,0.75,5
E2000020820502291170D012,824.7518592,673.003698,0.75,6
E2000020820502291080CFEA,778.5022311,654.0044376,0.75,7
E2000020820502291060CFEE,732.2526029,635.0051773,0.75,8
E2000020820502291480D08A,686.0029748,616.0059169,0.75,9
E2000020820502290880CF9A,639.7533466,597.0066565,0.75,10
E2000020820502291650D0D2,1000,922,0.75,11
E2000020820502290860CF9E,953.5911017,903.393169,0.75,12
E2000020820502291470D096,907.1822034,884.786338,0.75,13
E2000020820502290850CF92,860.7733052,866.179507,0.75,14
E2000020820502290870CFA6,814.3644069,847.572676,0.75,15
E2000020820502291050CFE2,767.9555086,828.9658449,0.75,16
E2000020820502291070CFF6,721.5466103,810.3590139,0.75,17
E2000020820502291450D082,675.137712,791.7521829,0.75,18
E2000020820502291660D0DE,628.7288138,773.1453519,0.75,19
E2000020820502290460CEFE,582.3199155,754.5385209,0.75,20
E2000020820502290790CF86,952.0816913,568.0380208,0.75,24
E2000020820502290600CF2A,905.6225369,549.5570313,0.75,25
E2000020820502280600CE72,859.1633825,531.0760417,0.75,26
E2000020820502280700CE46,812.7042282,512.5950521,0.75,27
E2000020820502290690CF52,766.2450738,494.1140625,0.75,28
E2000020820502290450CEF2,719.7859195,475.6330729,0.75,29
E2000020820502280880CE02,1002,425,0.75,31
E2000020820502280910CDFA,955.6749485,406.1853886,0.75,32
E2000020820502280890CDFE,909.3498969,387.3707773,0.75,33
E2000020820502280690CE4E,863.0248454,368.5561659,0.75,34
E2000020820502280510CE9A,816.6997939,349.7415545,0.75,35
E2000020820502280770CE2E,770.3747424,330.9269431,0.75,36
E2000020820502281110CDAA,724.0496908,312.1123318,0.75,37
E2000020820502280480CEA2,677.7246393,293.2977204,0.75,38
E2000020820502281120CDA2,520.466781,606.5351961,0.75,40
E2000020820502280900CDF6,538.933562,560.0703923,0.75,41
E2000020820502281100CDA6,557.4003431,513.6055884,0.75,42
E2000020820502281090CDAE,575.8671241,467.1407845,0.75,43
E2000020820502290800CF7A,594.3339051,420.6759807,0.75,44
E2000020820502290390CEE6,679,471,0.75,45
E2000020820502291180D01E,660.2325268,517.3441685,0.75,46
E2000020820502271840D119,641.4650536,563.6883369,0.75,47
